City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Chuy,-33.7,-53.46,38.68,76,0,7.2,UY,2020-08-21 00:43:33
1,Muisne,0.6,-80.03,72.99,85,87,9.19,EC,2020-08-21 00:43:33
2,Mataura,-46.19,168.86,49.1,88,100,2.3,NZ,2020-08-21 00:43:33
3,Thinadhoo,0.53,72.93,83.89,61,100,3.53,MV,2020-08-21 00:43:34
4,Marfino,55.7,37.38,55.0,81,0,2.24,RU,2020-08-21 00:43:34
5,Port Alfred,-33.59,26.89,58.26,77,100,9.44,ZA,2020-08-21 00:43:34
6,Punta Arenas,-53.15,-70.92,42.8,87,75,11.41,CL,2020-08-21 00:41:02
7,Kavieng,-2.57,150.8,83.95,74,35,8.84,PG,2020-08-21 00:43:34
8,Mahebourg,-20.41,57.7,66.2,77,20,8.05,MU,2020-08-21 00:43:35
9,Atuona,-9.8,-139.03,79.07,75,95,19.89,PF,2020-08-21 00:43:35
10,Rassvet,46.83,40.75,75.34,30,100,10.96,RU,2020-08-21 00:43:35
11,Vila Do Maio,15.13,-23.22,78.8,65,20,11.41,CV,2020-08-21 00:43:35
12,Busselton,-33.65,115.33,42.01,99,100,6.49,AU,2020-08-21 00:43:36
13,Kapaa,22.08,-159.32,84.2,66,75,16.11,US,2020-08-21 00:43:36
14,Badou,7.58,0.6,71.71,92,100,2.73,TG,2020-08-21 00:43:36
15,Voyvozh,62.89,54.96,52.7,92,100,10.16,RU,2020-08-21 00:43:36
16,Beloha,-25.17,45.05,64.78,73,87,6.26,MG,2020-08-21 00:43:36
17,Gat,31.61,34.76,75.0,77,0,3.94,IL,2020-08-21 00:43:37
18,Raudeberg,61.99,5.14,64.0,88,100,4.56,NO,2020-08-21 00:43:37
19,Los Llanos De Aridane,28.66,-17.92,71.6,73,0,5.82,ES,2020-08-21 00:43:37
20,Guerrero Negro,27.98,-114.06,81.09,57,100,13.98,MX,2020-08-21 00:43:37
21,East London,-33.02,27.91,60.55,71,100,11.45,ZA,2020-08-21 00:43:37
22,Amasya,40.67,35.83,66.2,68,75,2.24,TR,2020-08-21 00:43:38
23,Albany,42.6,-73.97,72.0,59,0,2.44,US,2020-08-21 00:43:38
24,Abu Kamal,34.45,40.92,76.03,44,0,8.75,SY,2020-08-21 00:43:38
25,Kodiak,57.79,-152.41,75.2,38,1,12.75,US,2020-08-21 00:43:39
26,Hambantota,6.12,81.12,77.0,100,100,8.05,LK,2020-08-21 00:43:39
27,Ushuaia,-54.8,-68.3,42.8,75,40,13.87,AR,2020-08-21 00:40:18
28,Vaini,-21.2,-175.2,80.6,83,75,8.05,TO,2020-08-21 00:43:39
29,Jamestown,42.1,-79.24,71.6,49,1,5.82,US,2020-08-21 00:43:39
30,Cape Town,-33.93,18.42,55.0,100,0,8.05,ZA,2020-08-21 00:41:09
31,Bamiantong,44.93,130.53,68.74,51,100,1.68,CN,2020-08-21 00:43:40
32,Rikitea,-23.12,-134.97,66.76,80,100,26.35,PF,2020-08-21 00:43:40
33,Mezen,65.85,44.24,43.77,85,30,2.68,RU,2020-08-21 00:43:14
34,Hermanus,-34.42,19.23,46.99,94,0,6.85,ZA,2020-08-21 00:43:41
35,Cabo San Lucas,22.89,-109.91,79.0,94,90,8.05,MX,2020-08-21 00:43:41
36,Qaanaaq,77.48,-69.36,42.93,77,100,3.0,GL,2020-08-21 00:43:41
37,Sao Filipe,14.9,-24.5,76.6,80,36,8.48,CV,2020-08-21 00:38:44
38,Hofn,64.25,-15.21,48.34,64,100,23.73,IS,2020-08-21 00:43:42
39,San Andres,12.58,-81.7,82.4,83,90,3.36,CO,2020-08-21 00:43:24
40,Butaritari,3.07,172.79,82.92,74,100,11.34,KI,2020-08-21 00:43:42
41,Chara,56.91,118.26,67.06,43,100,2.24,RU,2020-08-21 00:43:42
42,Te Anau,-45.42,167.72,51.46,76,100,3.09,NZ,2020-08-21 00:43:43
