City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
2,Bengkulu,ID,82.65,overcast clouds,-3.8,102.27,Grage Hotel Bengkulu
6,Hilo,US,82.4,overcast clouds,19.73,-155.09,Hilo Hawaiian Hotel
7,Portland,US,86.0,broken clouds,45.52,-122.68,Portland Marriott City Center
13,Georgetown,MY,82.4,haze,5.41,100.34,Cititel Penang
16,Kapaa,US,84.2,clear sky,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
17,Labuan,MY,80.6,few clouds,5.28,115.24,Tiara Labuan Hotel
22,Tautira,PF,82.4,shower rain,-17.73,-149.15,Pension Oaoa
24,Faanui,PF,78.35,light rain,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
25,Vaini,TO,75.2,overcast clouds,-21.2,-175.2,Keleti Beach Resort
28,Banda Aceh,ID,83.05,overcast clouds,5.56,95.32,OYO 884 Rumoh PMI Hotel
38,Yeppoon,AU,77.0,clear sky,-23.13,150.73,Villa Mar Colina
40,Butaritari,KI,83.5,light rain,3.07,172.79,Isles Sunset Lodge
49,Buala,SB,85.53,light rain,-8.14,159.59,Maringe Lagoon Lodge
53,Atambua,ID,85.71,clear sky,-9.11,124.89,Pondok Pesantren Al Muhajirin Atambua
61,Diffa,NE,82.98,overcast clouds,13.32,12.61,ProDAF/Diffa
62,Sao Filipe,CV,77.38,few clouds,14.9,-24.5,Tortuga B&B
66,Hithadhoo,MV,83.3,broken clouds,-0.6,73.08,Scoop Guest House
70,Mindelo,CV,78.8,clear sky,16.89,-24.98,Hotel Gaudi
72,Labuhan,ID,83.26,overcast clouds,-6.88,112.21,bador sepret
74,Mackay,AU,82.0,clear sky,-21.15,149.2,International Lodge Motel
79,Keta,GH,77.0,scattered clouds,5.92,0.99,Keta Lagoon Resort
81,Hami,CN,83.64,overcast clouds,42.8,93.45,Laoyutang Resort
85,Guerrero Negro,MX,78.57,clear sky,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
86,Hurghada,EG,81.07,clear sky,27.26,33.81,Sea Star Beau Rivage Hotel
87,Vanimo,PG,86.85,clear sky,-2.67,141.3,Vahmoneh Lodge Vanimo
90,Altamira,BR,79.74,scattered clouds,-3.2,-52.21,Requinte Hotel
92,Coxim,BR,78.89,broken clouds,-18.51,-54.76,Hotel Avenida
94,Mahina,PF,82.4,shower rain,-17.51,-149.49,Guest Beach Bungalow Tahiti
97,Victoria,HK,84.99,broken clouds,22.29,114.16,Mini Hotel Central
99,Izumo,JP,89.6,scattered clouds,35.37,132.77,Toyoko-Inn Izumoshi ekimae
100,Kroya,ID,81.93,scattered clouds,-7.63,109.25,RUSTANTO Fam
103,Kavieng,PG,84.13,light rain,-2.57,150.8,Nusa Island Retreat
104,Avarua,CK,75.2,overcast clouds,-21.21,-159.78,Paradise Inn
110,Road Town,VG,84.0,clear sky,18.42,-64.62,"ZINGARA 76ft Catamaran, full crew-all included"
116,Venice,US,80.6,clear sky,27.1,-82.45,A Beach Retreat
119,Atuona,PF,78.48,few clouds,-9.8,-139.03,Villa Enata
121,Keningau,MY,82.4,few clouds,5.34,116.16,Sabindo Hotel
123,Daru,PG,80.51,clear sky,-9.08,143.21,New century hotel
126,Puerto Quijarro,BO,75.34,overcast clouds,-17.78,-57.77,Hotel palance
132,Half Moon Bay,US,89.6,clear sky,37.46,-122.43,"The Ritz-Carlton, Half Moon Bay"
143,Dingle,PH,77.4,overcast clouds,11.0,122.67,Camp Pasica
144,Cairns,AU,88.0,clear sky,-16.92,145.77,Mantra Trilogy Cairns
145,Livramento,BR,86.0,few clouds,-3.03,-60.18,ArteNamata
154,Kikwit,CD,77.79,overcast clouds,-5.04,18.82,Centre D'Accueil Protestant
157,Tazmalt,DZ,75.2,scattered clouds,36.39,4.4,Hôtel Numédia
160,Cabo San Lucas,MX,78.01,moderate rain,22.89,-109.91,Hotel Tesoro Los Cabos
162,Jaciara,BR,78.3,clear sky,-15.97,-54.97,Taba Hotel
176,Manaus,BR,86.0,clear sky,-3.1,-60.02,Hotel do Largo
180,Shingu,JP,89.6,broken clouds,33.73,135.98,Shingu UI Hotel
183,Hambantota,LK,78.8,few clouds,6.12,81.12,Bungalow 63
184,Bontang,ID,83.03,clear sky,0.13,117.5,Okra Leaf Guest House Syariah
187,Kalmunai,LK,80.31,overcast clouds,7.42,81.82,VS Villa
200,Kushima,JP,87.8,scattered clouds,31.46,131.23,Hanaoka
204,Lorengau,PG,86.13,scattered clouds,-2.02,147.27,Lorengau Harbourside Hotel
205,La Asuncion,VE,82.4,broken clouds,11.03,-63.86,Colinas de Matasiete
206,Hays,US,89.01,clear sky,30.05,-98.03,Sinya on Lone Man Creek
208,Tukrah,LY,77.05,clear sky,32.53,20.58,استراحة لاقروتا
210,Dakar,SN,82.4,scattered clouds,14.69,-17.44,Novotel Dakar
211,Salalah,OM,77.0,light intensity drizzle,17.02,54.09,HAMDAN PLAZA HOTEL
213,Lazaro Cardenas,MX,80.71,overcast clouds,17.96,-102.2,Collection O Hotel Quinta Antigua
214,Cherat,PK,78.8,haze,33.82,71.89,Akhtar said shop
216,Hatillo,PR,84.0,clear sky,18.49,-66.83,Hotel Parador El Buen Cafe
221,Bam,IR,81.27,clear sky,29.11,58.36,Bam Tourist Hotel
223,Sampit,ID,84.79,clear sky,-2.53,112.95,Aquarius Boutique Hotel Sampit
232,Noumea,NC,78.8,clear sky,-22.28,166.46,Hôtel Le Lagon
233,Manggar,ID,83.17,overcast clouds,-2.88,108.27,Guest Hotel
