City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Ushuaia,AR,-54.8,-68.3,39.2,93,75,31.09,moderate rain
1,Jamestown,US,42.1,-79.24,60.8,63,1,3.36,clear sky
2,Bengkulu,ID,-3.8,102.27,82.65,67,100,4.07,overcast clouds
3,Alice Springs,AU,-23.7,133.88,64.4,25,0,9.17,clear sky
4,Haines Junction,CA,60.75,-137.51,60.3,42,69,2.73,broken clouds
5,Rikitea,PF,-23.12,-134.97,69.94,85,100,22.97,overcast clouds
6,Hilo,US,19.73,-155.09,82.4,65,90,10.29,overcast clouds
7,Portland,US,45.52,-122.68,86.0,35,75,3.36,broken clouds
8,Mbandaka,CD,0.05,18.26,72.72,87,100,2.77,overcast clouds
9,Severnyy,RU,50.68,36.55,62.6,67,94,8.95,overcast clouds
10,Pandamatenga,BW,-18.53,25.63,49.75,39,0,5.23,clear sky
11,Akdepe,TM,42.06,59.38,68.0,60,0,2.24,clear sky
12,Bluff,NZ,-46.6,168.33,57.99,76,99,3.0,overcast clouds
13,Georgetown,MY,5.41,100.34,82.4,88,20,3.36,haze
14,Podyuga,RU,61.09,40.86,39.85,86,0,2.59,clear sky
15,Tuktoyaktuk,CA,69.45,-133.04,53.6,81,75,9.17,broken clouds
16,Kapaa,US,22.08,-159.32,84.2,62,1,13.87,clear sky
17,Labuan,MY,5.28,115.24,80.6,88,20,1.12,few clouds
18,Hermanus,ZA,-34.42,19.23,45.0,93,99,10.83,overcast clouds
19,New Norfolk,AU,-42.78,147.06,54.0,76,0,5.01,clear sky
20,Garissa,KE,-0.45,39.64,72.3,82,41,12.28,scattered clouds
21,Torbay,CA,47.67,-52.73,64.0,88,90,12.75,overcast clouds
22,Tautira,PF,-17.73,-149.15,82.4,65,75,3.36,shower rain
23,Punta Arenas,CL,-53.15,-70.92,44.6,81,70,29.97,broken clouds
24,Faanui,PF,-16.48,-151.75,78.35,77,7,20.13,light rain
25,Vaini,TO,-21.2,-175.2,75.2,88,90,10.29,overcast clouds
26,Salisbury,GB,51.07,-1.8,64.4,88,100,19.46,overcast clouds
27,Broome,US,42.25,-75.83,60.8,55,1,4.7,clear sky
28,Banda Aceh,ID,5.56,95.32,83.05,71,94,4.29,overcast clouds
29,Katsuura,JP,35.13,140.3,93.0,70,20,16.11,few clouds
30,Albany,US,42.6,-73.97,68.0,58,6,1.99,clear sky
31,Norman Wells,CA,65.28,-126.83,64.4,48,20,3.36,few clouds
32,Nachingwea,TZ,-10.38,38.77,64.9,97,94,1.19,overcast clouds
33,Bykovo,RU,55.64,38.08,61.0,82,57,4.47,broken clouds
34,Mataura,NZ,-46.19,168.86,57.99,76,97,3.0,overcast clouds
35,Carlisle,US,40.2,-77.19,68.0,70,0,1.99,clear sky
36,Hamilton,US,39.18,-84.53,70.0,77,1,6.04,clear sky
37,Sumbe,AO,-11.21,13.84,69.67,90,96,1.54,overcast clouds
38,Yeppoon,AU,-23.13,150.73,77.0,16,6,12.75,clear sky
39,Ballina,AU,-28.87,153.57,68.0,34,75,18.34,broken clouds
40,Butaritari,KI,3.07,172.79,83.5,76,97,10.87,light rain
41,Ponta Do Sol,PT,32.67,-17.1,73.4,73,40,2.24,scattered clouds
42,Bisert,RU,56.86,59.05,47.17,95,100,13.91,light rain
43,Kropotkin,RU,45.44,40.58,66.24,45,0,5.93,clear sky
44,Havre-Saint-Pierre,CA,50.23,-63.6,60.8,87,90,5.82,overcast clouds
45,Saldanha,ZA,-33.01,17.94,50.65,79,47,3.58,scattered clouds
