City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Coihaique,-45.58,-72.07,42.8,83,92,3.36,CL,2020-08-19 23:07:46
1,Punta Arenas,-53.15,-70.92,46.4,70,75,34.45,CL,2020-08-19 23:07:47
2,Lufilufi,-13.87,-171.6,87.8,66,75,14.99,WS,2020-08-19 23:07:47
3,Cape Town,-33.93,18.42,54.0,87,75,5.82,ZA,2020-08-19 23:07:47
4,Bull Savanna,17.89,-77.59,81.68,77,93,1.77,JM,2020-08-19 23:07:48
5,Qaanaaq,77.48,-69.36,44.38,90,100,1.79,GL,2020-08-19 23:07:48
6,Loreto,22.27,-101.97,73.81,44,100,7.56,MX,2020-08-19 23:07:48
7,Castro,-24.79,-50.01,52.18,96,100,1.81,BR,2020-08-19 23:07:48
8,Shetpe,44.17,52.12,70.54,39,0,8.61,KZ,2020-08-19 23:07:49
9,Dikson,73.51,80.55,47.84,77,0,13.96,RU,2020-08-19 23:04:45
10,Tecoanapa,16.52,-98.75,84.07,78,25,13.65,MX,2020-08-19 23:07:49
11,Montanha,-18.13,-40.36,71.01,85,20,11.39,BR,2020-08-19 23:07:49
12,Suleja,9.18,7.18,82.4,83,20,4.7,NG,2020-08-19 23:07:49
13,Kapaa,22.08,-159.32,86.0,62,20,12.75,US,2020-08-19 23:07:50
14,Andujar,38.04,-4.05,81.0,38,0,5.99,ES,2020-08-19 23:07:50
15,Kaitangata,-46.28,169.85,51.01,82,4,3.0,NZ,2020-08-19 23:07:50
16,Maragogi,-9.01,-35.22,74.01,82,64,4.45,BR,2020-08-19 23:07:51
17,Rorvik,64.86,11.24,54.46,82,83,11.92,NO,2020-08-19 23:03:04
18,Ostrovnoy,68.05,39.51,49.73,79,49,9.13,RU,2020-08-19 23:07:51
19,Yegros,-26.45,-56.4,58.68,68,1,10.51,PY,2020-08-19 23:07:51
20,The Valley,18.22,-63.06,82.99,76,4,7.0,AI,2020-08-19 23:07:52
21,Pevek,69.7,170.31,43.0,79,97,3.91,RU,2020-08-19 23:07:52
22,Hermanus,-34.42,19.23,45.0,93,99,1.01,ZA,2020-08-19 23:07:52
23,Longyearbyen,78.22,15.64,44.6,70,75,12.75,SJ,2020-08-19 23:07:53
24,Komsomolskiy,40.43,71.72,68.0,64,35,6.93,UZ,2020-08-19 23:07:53
25,Huescar,37.81,-2.54,73.99,34,0,1.3,ES,2020-08-19 23:07:53
26,Namatanai,-3.67,152.43,82.38,71,100,6.73,PG,2020-08-19 23:07:53
27,Avarua,-21.21,-159.78,75.2,78,100,21.92,CK,2020-08-19 23:05:55
28,Yamada,39.47,141.95,82.42,60,0,1.52,JP,2020-08-19 23:07:54
29,Lebu,-37.62,-73.65,46.71,73,0,21.03,CL,2020-08-19 23:07:54
30,Katsuura,35.13,140.3,84.0,80,26,3.0,JP,2020-08-19 23:07:54
31,Tunceli,39.11,39.55,71.6,21,0,6.93,TR,2020-08-19 23:07:55
32,West Odessa,31.84,-102.5,98.01,18,1,6.93,US,2020-08-19 23:07:55
33,Codrington,-38.27,141.97,48.7,85,89,12.86,AU,2020-08-19 23:07:55
34,Arraial Do Cabo,-22.97,-42.03,75.2,78,0,3.36,BR,2020-08-19 23:07:55
35,Cartagena Del Chaira,1.33,-74.84,78.89,83,95,2.53,CO,2020-08-19 23:07:56
36,Aquiraz,-3.9,-38.39,78.8,78,44,6.93,BR,2020-08-19 23:07:56
37,Montepuez,-13.13,39.0,66.69,92,29,6.82,MZ,2020-08-19 23:07:56
38,Kahului,20.89,-156.47,89.6,43,40,18.34,US,2020-08-19 23:07:57
39,Neryungri,56.67,124.65,55.98,58,79,1.92,RU,2020-08-19 23:07:57
40,Ancud,-41.87,-73.82,45.0,70,20,5.82,CL,2020-08-19 23:07:57
41,Thompson,55.74,-97.86,71.6,53,75,6.93,CA,2020-08-19 23:07:58
42,Puerto Ayora,-0.74,-90.35,68.0,91,85,7.0,EC,2020-08-19 23:05:04
43,Busselton,-33.65,115.33,53.44,73,82,1.59,AU,2020-08-19 23:04:46
44,Mataura,-46.19,168.86,53.01,93,21,1.99,NZ,2020-08-19 23:07:59
45,Bilibino,68.05,166.44,46.69,85,100,1.92,RU,2020-08-19 23:07:59
46,Georgetown,5.41,100.34,78.8,94,40,2.24,MY,2020-08-19 23:04:28
47,Beyneu,45.32,55.2,69.08,23,19,5.39,KZ,2020-08-19 23:07:59
48,Neepawa,50.23,-99.47,89.6,40,40,5.82,CA,2020-08-19 23:08:00
49,Ushuaia,-54.8,-68.3,41.0,80,90,27.51,AR,2020-08-19 23:07:21
50,Albany,42.6,-73.97,72.0,45,10,6.69,US,2020-08-19 23:04:03
51,Atuona,-9.8,-139.03,78.49,76,7,18.66,PF,2020-08-19 23:08:01
52,Sheridan,44.83,-106.92,80.6,36,1,12.75,US,2020-08-19 23:07:54
53,Morehead,37.27,-87.18,82.4,57,40,10.29,US,2020-08-19 23:08:01
54,Nuuk,64.18,-51.72,48.2,81,5,11.41,GL,2020-08-19 23:08:02
55,Taoudenni,22.68,-3.98,99.66,18,21,1.86,ML,2020-08-19 23:06:33
56,Bonavista,48.65,-53.11,60.01,82,18,3.0,CA,2020-08-19 23:08:02
57,Hambantota,6.12,81.12,78.8,94,100,9.17,LK,2020-08-19 23:08:02
58,Cabo San Lucas,22.89,-109.91,75.0,94,90,35.57,MX,2020-08-19 23:06:44
59,Rikitea,-23.12,-134.97,70.41,86,100,22.15,PF,2020-08-19 23:08:03
60,Le Port,-20.94,55.29,68.0,77,75,9.17,RE,2020-08-19 23:08:03
61,Bluff,-46.6,168.33,53.01,93,60,1.99,NZ,2020-08-19 23:08:03
62,New Norfolk,-42.78,147.06,48.99,80,82,3.0,AU,2020-08-19 23:08:03
63,Bredasdorp,-34.53,20.04,51.8,76,100,5.82,ZA,2020-08-19 23:04:26
64,Coahuayana,18.73,-103.68,78.8,83,75,17.22,MX,2020-08-19 23:08:04
65,Maumere,-8.62,122.21,76.87,77,47,5.5,ID,2020-08-19 23:08:05
66,Carnarvon,-24.87,113.63,60.8,55,92,9.17,AU,2020-08-19 23:08:05
67,Mehamn,71.04,27.85,53.6,71,40,2.24,NO,2020-08-19 23:08:05
68,Avera,33.19,-82.53,87.8,58,1,6.93,US,2020-08-19 23:08:05
69,East London,-33.02,27.91,53.42,60,0,5.91,ZA,2020-08-19 23:03:11
70,Kiruna,67.86,20.23,42.8,93,52,4.7,SE,2020-08-19 23:07:41
71,Klaksvik,62.23,-6.59,51.8,76,100,11.41,FO,2020-08-19 23:04:50
72,Beian,63.66,9.57,57.99,100,40,4.7,NO,2020-08-19 23:08:06
73,Brae,60.4,-1.35,59.0,100,70,8.05,GB,2020-08-19 23:08:06
74,Jamestown,42.1,-79.24,68.0,45,1,8.05,US,2020-08-19 23:04:42
75,Barrow,71.29,-156.79,42.8,81,90,9.17,US,2020-08-19 23:08:07
76,Buala,-8.14,159.59,84.6,69,96,3.02,SB,2020-08-19 23:08:07
77,Road Town,18.42,-64.62,86.0,70,20,12.75,VG,2020-08-19 23:08:07
78,Shaoxing,30.01,120.57,86.0,74,13,4.05,CN,2020-08-19 23:08:08
79,Chuy,-33.7,-53.46,43.38,75,30,9.48,UY,2020-08-19 23:08:08
80,Saint-Philippe,-21.36,55.77,69.01,68,90,2.24,RE,2020-08-19 23:08:08
81,Salalah,17.02,54.09,77.0,100,90,5.82,OM,2020-08-19 23:08:08
82,Sydney,-33.87,151.21,60.01,44,20,23.04,AU,2020-08-19 23:06:00
83,Sitka,57.05,-135.33,62.6,72,40,6.93,US,2020-08-19 23:08:09
84,Port Lincoln,-34.73,135.87,54.23,73,24,18.05,AU,2020-08-19 23:08:09
85,Clarence Town,-32.58,151.78,59.0,58,20,23.04,AU,2020-08-19 23:08:10
86,Lavrentiya,65.58,-171.0,54.14,71,66,7.4,RU,2020-08-19 23:08:10
87,Nkowakowa,-23.89,30.29,39.2,27,0,1.3,ZA,2020-08-19 23:08:10
88,Vaini,-21.2,-175.2,75.2,94,75,11.41,TO,2020-08-19 23:08:10
89,Torbay,47.67,-52.73,66.99,82,75,13.87,CA,2020-08-19 23:05:17
90,Khilok,51.37,110.47,54.7,80,40,4.32,RU,2020-08-19 23:08:11
91,Srednekolymsk,67.45,153.68,43.2,72,82,9.13,RU,2020-08-19 23:08:11
92,Tuktoyaktuk,69.45,-133.04,53.6,81,40,9.17,CA,2020-08-19 23:08:11
93,Abbeville,50.1,1.83,69.01,74,83,10.38,FR,2020-08-19 23:08:11
94,Tateyama,34.98,139.87,86.0,89,42,5.99,JP,2020-08-19 23:08:12
95,Hobart,-42.88,147.33,48.99,76,75,10.29,AU,2020-08-19 23:05:54
96,Celles,50.71,3.46,66.0,93,99,5.01,BE,2020-08-19 23:08:12
97,Bend,44.06,-121.32,91.4,13,1,4.7,US,2020-08-19 23:08:07
98,Yellowknife,62.46,-114.35,59.0,93,90,5.82,CA,2020-08-19 23:08:12
99,Port Alfred,-33.59,26.89,51.19,73,17,10.13,ZA,2020-08-19 23:04:50
100,Laguna,38.42,-121.42,102.2,15,75,4.7,US,2020-08-19 23:08:13
101,Airai,-8.93,125.41,60.85,54,5,2.55,TL,2020-08-19 23:08:13
102,Hatillo,18.49,-66.83,84.99,83,64,18.41,PR,2020-08-19 23:08:13
103,Nikolskoye,59.7,30.79,55.0,87,0,2.93,RU,2020-08-19 23:08:13
104,Hithadhoo,-0.6,73.08,82.94,68,84,3.33,MV,2020-08-19 23:08:14
105,Flinders,-34.58,150.86,57.0,55,9,11.01,AU,2020-08-19 23:08:14
106,Mokhsogollokh,61.47,128.92,52.72,76,63,6.6,RU,2020-08-19 23:08:14
107,Schwabisch Hall,49.11,9.74,69.01,82,99,1.12,DE,2020-08-19 23:08:15
108,Manokwari,-0.87,134.08,80.64,73,79,4.36,ID,2020-08-19 23:08:15
109,Brownwood,31.71,-98.99,93.2,23,1,13.87,US,2020-08-19 23:07:34
110,Kieta,-6.22,155.63,84.29,65,14,2.3,PG,2020-08-19 23:08:16
111,Ilulissat,69.22,-51.1,48.2,49,31,6.93,GL,2020-08-19 23:08:16
112,Ondjiva,-17.07,15.73,55.09,32,35,9.31,AO,2020-08-19 23:08:16
113,Fiumicino,41.77,12.23,75.2,69,42,2.24,IT,2020-08-19 23:08:16
114,Hualmay,-11.1,-77.61,61.97,78,21,12.82,PE,2020-08-19 23:08:16
115,Sobolevo,54.43,31.9,57.76,95,100,11.16,RU,2020-08-19 23:08:17
116,Svetlaya,46.54,138.33,64.06,64,84,5.77,RU,2020-08-19 23:08:17
117,Khandbari,27.37,87.2,71.56,73,34,0.89,NP,2020-08-19 23:08:17
118,Tolaga Bay,-38.37,178.3,62.46,59,3,11.52,NZ,2020-08-19 23:08:18
119,Kavaratti,10.57,72.64,81.9,77,100,13.4,IN,2020-08-19 23:08:18
120,Aklavik,68.22,-135.01,59.0,77,75,4.7,CA,2020-08-19 23:06:40
121,Mayo,38.89,-76.51,80.01,74,1,5.82,US,2020-08-19 23:08:18
122,Borba,-4.39,-59.59,86.49,40,12,2.77,BR,2020-08-19 23:08:18
123,Lloydminster,53.28,-110.0,77.0,53,20,8.05,CA,2020-08-19 23:06:11
124,Nanortalik,60.14,-45.24,46.22,80,29,14.43,GL,2020-08-19 23:08:19
125,Bucarasica,8.04,-72.87,86.0,58,75,5.82,CO,2020-08-19 23:08:19
126,Invermere,50.52,-116.04,89.69,12,5,8.55,CA,2020-08-19 23:08:19
127,Port Elizabeth,-33.92,25.57,46.4,87,26,5.82,ZA,2020-08-19 23:08:20
128,Kaeo,-35.1,173.78,61.0,58,86,8.99,NZ,2020-08-19 23:08:20
129,Kapurthala,31.38,75.38,77.0,94,90,4.7,IN,2020-08-19 23:08:20
130,Hasaki,35.73,140.83,84.0,83,20,4.7,JP,2020-08-19 23:08:20
